Id,ActivityDate,TotalDistance,Calories
2873212765,5/8/2016,5.53999996185303,2096
2873212765,5/9/2016,5.19000005722046,1906
2873212765,5/10/2016,5.55999994277954,1962
2873212765,5/11/2016,4.32999992370605,1826
2873212765,5/12/2016,5.1100001335144,1431
3372868164,4/12/2016,3.24000000953674,1788
3372868164,4/13/2016,6.63000011444092,2093
3372868164,4/14/2016,6.03000020980835,2065
3372868164,4/15/2016,5.07999992370605,1908
3372868164,4/16/2016,4.73000001907349,1908
3372868164,4/17/2016,5.88000011444092,1964
3372868164,4/18/2016,4.6399998664856,2014
3372868164,4/19/2016,5.26000022888184,1985
3372868164,4/20/2016,3.32999992370605,1867
3372868164,4/21/2016,6.07000017166138,2124
3372868164,4/22/2016,2.61999988555908,1669
3372868164,4/23/2016,5.07000017166138,1995
3372868164,4/24/2016,4.59000015258789,1921
3372868164,4/25/2016,4.09000015258789,2010
3372868164,4/26/2016,5.78999996185303,2057
3372868164,4/27/2016,5.42000007629395,2095
3372868164,4/28/2016,3.75999999046326,1972
3372868164,4/29/2016,6.23000001907349,2044
3372868164,4/30/2016,3.57999992370605,1946
3372868164,5/1/2016,2.09999990463257,1237
3977333714,4/12/2016,5.98000001907349,1450
3977333714,4/13/2016,6.71000003814697,1495
3977333714,4/14/2016,5.1100001335144,1433
3977333714,4/15/2016,6.05999994277954,1468
3977333714,4/16/2016,9,1625
3977333714,4/17/2016,6.96999979019165,1529
3977333714,4/18/2016,7.80000019073486,1584
3977333714,4/19/2016,8.77999973297119,1638
3977333714,4/20/2016,7.82999992370605,1554
3977333714,4/21/2016,4.07999992370605,1397
3977333714,4/22/2016,5.96000003814697,1481
3977333714,4/23/2016,8.06999969482422,1638
3977333714,4/24/2016,10,1655
3977333714,4/25/2016,8.47999954223633,1570
3977333714,4/26/2016,7.61999988555908,1551
3977333714,4/27/2016,5.03999996185303,1377
3977333714,4/28/2016,4.88000011444092,1407
3977333714,4/29/2016,7.75,1545
3977333714,4/30/2016,9.19999980926514,1650
3977333714,5/1/2016,7.07000017166138,1501
3977333714,5/2/2016,11.0500001907349,1760
3977333714,5/3/2016,9.59000015258789,1710
3977333714,5/4/2016,9.4399995803833,1628
3977333714,5/5/2016,8.57999992370605,1618
3977333714,5/6/2016,8.27999973297119,1590
3977333714,5/7/2016,7.73000001907349,1574
3977333714,5/8/2016,9.09000015258789,1633
3977333714,5/9/2016,10.0799999237061,1667
3977333714,5/10/2016,8.77999973297119,1630
3977333714,5/11/2016,0.5,52
4020332650,4/12/2016,6.11999988555908,3654
4020332650,4/13/2016,0,1981
4020332650,4/14/2016,0.0799999982118607,2011
4020332650,4/15/2016,1.35000002384186,2951
4020332650,4/16/2016,1.41999995708466,3051
4020332650,4/17/2016,0.00999999977648258,1990
4020332650,4/18/2016,0.0399999991059303,1995
4020332650,4/19/2016,0,1980
4020332650,4/20/2016,0,1980
4020332650,4/21/2016,0,1980
4020332650,4/22/2016,0,1980
4020332650,4/23/2016,0,1980
4020332650,4/24/2016,0,1980
4020332650,4/25/2016,0,1980
4020332650,4/26/2016,0,1980
4020332650,4/27/2016,0,1980
4020332650,4/28/2016,0,1980
4020332650,4/29/2016,0,1980
4020332650,4/30/2016,0,1980
4020332650,5/1/2016,0,1980
4020332650,5/2/2016,0.340000003576279,2207
4020332650,5/3/2016,3.22000002861023,2828
4020332650,5/4/2016,7.34999990463257,3879
4020332650,5/5/2016,8.43000030517578,3429
4020332650,5/6/2016,3.13000011444092,2704
4020332650,5/7/2016,4.40000009536743,2975
4020332650,5/8/2016,4.19999980926514,3089
4020332650,5/9/2016,3.26999998092651,2785
4020332650,5/10/2016,3.98000001907349,2926
4020332650,5/11/2016,2.65000009536743,2645
4020332650,5/12/2016,0.419999986886978,1120
4057192912,4/12/2016,4.03000020980835,2286
4057192912,4/13/2016,4.46999979019165,2306
4057192912,4/14/2016,0,1776
4057192912,4/15/2016,2.95000004768372,1527
4319703577,4/12/2016,5.19999980926514,2115
4319703577,4/13/2016,5.5,2135
4319703577,4/14/2016,6.88000011444092,2302
4319703577,4/15/2016,3.79999995231628,1985
4319703577,4/16/2016,3.1800000667572,1884
4319703577,4/17/2016,0.0199999995529652,1464
4319703577,4/18/2016,1.54999995231628,1632
4319703577,4/19/2016,5.98999977111816,2200
4319703577,4/20/2016,6.01000022888184,2220
4319703577,4/21/2016,2.48000001907349,1792
4319703577,4/22/2016,3.01999998092651,1886
4319703577,4/23/2016,3.30999994277954,1945
4319703577,4/24/2016,2.74000000953674,1880
4319703577,4/25/2016,6.21000003814697,2314
4319703577,4/26/2016,6.6399998664856,2236
4319703577,4/27/2016,7.23000001907349,2324
4319703577,4/28/2016,7.28000020980835,2367
4319703577,4/29/2016,5.3600001335144,2175
4319703577,4/30/2016,5.51999998092651,2092
4319703577,5/1/2016,0.839999973773956,1593
4319703577,5/2/2016,6.23999977111816,2270
4319703577,5/3/2016,6.46999979019165,2235
4319703577,5/4/2016,7.01999998092651,2282
